'vel:', 0.6, '| ang:', 0.03128611348942236, '| x_e:', 1, '| y_e:', 1, '| x:', 3.45140051454699, '| y:', 2.3822689136752664, ,'| x_e:', 0.0782152837235559, '| theta:', 0.9622859557878188
'vel:', 0.6, '| ang:', 0.029721779517557015, '| x_e:', 1, '| y_e:', 1, '| x:', 3.485666773984825, '| y:', 2.4314523053446133, ,'| x_e:', 0.07430444879389253, '| theta:', 0.9677399188165773
'vel:', 0.6, '| ang:', 0.028137158567534695, '| x_e:', 1, '| y_e:', 1, '| x:', 3.5196620995851244, '| y:', 2.4808186841691646, ,'| x_e:', 0.07034289641883673, '| theta:', 0.9732777298951019
'vel:', 0.6, '| ang:', 0.02649875298515978, '| x_e:', 1, '| y_e:', 1, '| x:', 3.553386669039817, '| y:', 2.5303771869571743, ,'| x_e:', 0.06624688246289945, '| theta:', 0.978688777579622
'vel:', 0.6, '| ang:', 0.024888924402800328, '| x_e:', 1, '| y_e:', 1, '| x:', 3.5868400331573587, '| y:', 2.580113658132066, ,'| x_e:', 0.06222231100700082, '| theta:', 0.9841036901547928
'vel:', 0.6, '| ang:', 0.02325498302529292, '| x_e:', 1, '| y_e:', 1, '| x:', 3.6200257435919987, '| y:', 2.6300337866219774, ,'| x_e:', 0.0581374575632323, '| theta:', 0.9894806063374565
'vel:', 0.6, '| ang:', 0.021612234510726802, '| x_e:', 1, '| y_e:', 1, '| x:', 3.6529289787812766, '| y:', 2.6801109605704942, ,'| x_e:', 0.054030586276817005, '| theta:', 0.9950535025921479
'vel:', 0.6, '| ang:', 0.019865574976776657, '| x_e:', 1, '| y_e:', 1, '| x:', 3.6858939329043863, '| y:', 2.7308965317053002, ,'| x_e:', 0.04966393744194164, '| theta:', 1.0004267754879608
'vel:', 0.6, '| ang:', 0.018174779335097393, '| x_e:', 1, '| y_e:', 1, '| x:', 3.717917493985686, '| y:', 2.780817120368295, ,'| x_e:', 0.04543694833774348, '| theta:', 1.0057823213350028
'vel:', 0.6, '| ang:', 0.01645300484908301, '| x_e:', 1, '| y_e:', 1, '| x:', 3.749999895196626, '| y:', 2.8314237523179147, ,'| x_e:', 0.04113251212270752, '| theta:', 1.0115268538699547
'vel:', 0.6, '| ang:', 0.014548941890135848, '| x_e:', 1, '| y_e:', 1, '| x:', 3.781806081265586, '| y:', 2.882237849336401, ,'| x_e:', 0.03637235472533962, '| theta:', 1.0170332438894167
'vel:', 0.6, '| ang:', 0.012703296403027853, '| x_e:', 1, '| y_e:', 1, '| x:', 3.813328853529056, '| y:', 2.9332212487884317, ,'| x_e:', 0.03175824100756963, '| theta:', 1.0224529248361696
'vel:', 0.6, '| ang:', 0.010854876683691561, '| x_e:', 1, '| y_e:', 1, '| x:', 3.844578274383668, '| y:', 2.9843803474369848, ,'| x_e:', 0.027137191709228903, '| theta:', 1.0277958350004517
'vel:', 0.6, '| ang:', 0.00899776682015876, '| x_e:', 1, '| y_e:', 1, '| x:', 3.8755506449701174, '| y:', 3.0357002645356737, ,'| x_e:', 0.022494417050396898, '| theta:', 1.0331150538869789
'vel:', 0.6, '| ang:', 0.007108350609415748, '| x_e:', 1, '| y_e:', 1, '| x:', 3.9062515968862788, '| y:', 3.0871875579058083, ,'| x_e:', 0.01777087652353937, '| theta:', 1.0384197166918345
'vel:', 0.6, '| ang:', 0.005179861884215509, '| x_e:', 1, '| y_e:', 1, '| x:', 3.9366757194677167, '| y:', 3.138831423520394, ,'| x_e:', 0.012949654710538772, '| theta:', 1.0437403158964453
'vel:', 0.6, '| ang:', 0.003196463803162875, '| x_e:', 1, '| y_e:', 1, '| x:', 3.967126812330504, '| y:', 3.191155662094387, ,'| x_e:', 0.007991159507907186, '| theta:', 1.0491241334185946
'vel:', 0.6, '| ang:', 0.0011358389377869038, '| x_e:', 1, '| y_e:', 1, '| x:', 3.996698753723348, '| y:', 3.2426044214599776, ,'| x_e:', 0.0028395973444672595, '| theta:', 1.05440690613532
'vel:', 0.6, '| ang:', -0.0009439621375320506, '| x_e:', 1, '| y_e:', 1, '| x:', 4.026293147805466, '| y:', 3.2947276482122922, ,'| x_e:', -0.0023599053438301265, '| theta:', 1.0585188486273542
'vel:', 0.6, '| ang:', -0.0026175522578911095, '| x_e:', 1, '| y_e:', 1, '| x:', 4.055672262235604, '| y:', 3.3469708754617806, ,'| x_e:', -0.006543880644727773, '| theta:', 1.0604954390348769
'vel:', 0.6, '| ang:', -0.003490598473973794, '| x_e:', 1, '| y_e:', 1, '| x:', 4.084945569606061, '| y:', 3.3992676293662076, ,'| x_e:', -0.008726496184934485, '| theta:', 1.0607720547800195
'vel:', 0.6, '| ang:', -0.0037147032140044446, '| x_e:', 1, '| y_e:', 1, '| x:', 4.1142096463882085, '| y:', 3.451581840052404, ,'| x_e:', -0.009286758035011111, '| theta:', 1.059569898110804
'vel:', 0.6, '| ang:', -0.003358662508765331, '| x_e:', 1, '| y_e:', 1, '| x:', 4.143536448412416, '| y:', 3.5038605771794704, ,'| x_e:', -0.008396656271913328, '| theta:', 1.0571521329451732
'vel:', 0.6, '| ang:', -0.0025083384390097944, '| x_e:', 1, '| y_e:', 1, '| x:', 4.172992065760232, '| y:', 3.5560726937994263, ,'| x_e:', -0.006270846097524485, '| theta:', 1.054082782351204
'vel:', 0.6, '| ang:', -0.0013709642697072866, '| x_e:', 1, '| y_e:', 1, '| x:', 4.202602913327572, '| y:', 3.6081855523662147, ,'| x_e:', -0.0034274106742682164, '| theta:', 1.0503760259601798
'vel:', 0.6, '| ang:', 6.0510236645505704e-05, '| x_e:', 1, '| y_e:', 1, '| x:', 4.232407170083147, '| y:', 3.6601890666052643, ,'| x_e:', 0.00015127559161376425, '| theta:', 1.046133354796725
'vel:', 0.6, '| ang:', 0.0017599275620298728, '| x_e:', 1, '| y_e:', 1, '| x:', 4.262432903628901, '| y:', 3.7120675846398625, ,'| x_e:', 0.004399818905074682, '| theta:', 1.0415518029939383
'vel:', 0.6, '| ang:', 0.003663625826063388, '| x_e:', 1, '| y_e:', 1, '| x:', 4.2926978903748925, '| y:', 3.7638112170536244, ,'| x_e:', 0.00915906456515847, '| theta:', 1.037953740378292
'vel:', 0.6, '| ang:', 0.0052570476228623875, '| x_e:', 1, '| y_e:', 1, '| x:', 4.323147961407971, '| y:', 3.815444099740526, ,'| x_e:', 0.013142619057155969, '| theta:', 1.036487942953975
'vel:', 0.6, '| ang:', 0.006074338652682698, '| x_e:', 1, '| y_e:', 1, '| x:', 4.353667011365993, '| y:', 3.8670210182564313, ,'| x_e:', 0.015185846631706745, '| theta:', 1.0364824467783094
'vel:', 0.6, '| ang:', 0.006355614178356195, '| x_e:', 1, '| y_e:', 1, '| x:', 4.3841928004253905, '| y:', 3.9186086788463097, ,'| x_e:', 0.015889035445890487, '| theta:', 1.037846201050769
'vel:', 0.6, '| ang:', 0.0061162392689242395, '| x_e:', 1, '| y_e:', 1, '| x:', 4.414955473498303, '| y:', 3.9707588096728466, ,'| x_e:', 0.015290598172310599, '| theta:', 1.0400783159430258
'vel:', 0.5919490108648825, '| ang:', 0.0055361799787096546, '| x_e:', 1, '| y_e:', 1, '| x:', 4.444991515900301, '| y:', 4.021937831018822, ,'| x_e:', 0.013840449946774136, '| theta:', 1.0431146872242998
'vel:', 0.5622810738000196, '| ang:', 0.004613760047570814, '| x_e:', 1, '| y_e:', 1, '| x:', 4.474995064451004, '| y:', 4.073418938027256, ,'| x_e:', 0.011534400118927035, '| theta:', 1.0454885582746833
'vel:', 0.5324900578314451, '| ang:', 0.003922348308465474, '| x_e:', 1, '| y_e:', 1, '| x:', 4.503258113397335, '| y:', 4.1221793394019315, ,'| x_e:', 0.009805870771163683, '| theta:', 1.0473114314404166
'vel:', 0.5043118117986145, '| ang:', 0.003412366506009068, '| x_e:', 1, '| y_e:', 1, '| x:', 4.53001709221734, '| y:', 4.168539441957787, ,'| x_e:', 0.00853091626502267, '| theta:', 1.0486737050080166
'vel:', 0.47754858213267487, '| ang:', 0.0030587011893769226, '| x_e:', 1, '| y_e:', 1, '| x:', 4.5551575731924885, '| y:', 4.21223285782186, ,'| x_e:', 0.007646752973442306, '| theta:', 1.0498998290186048
'vel:', 0.4523444083282975, '| ang:', 0.0027386829324295373, '| x_e:', 1, '| y_e:', 1, '| x:', 4.578818649320423, '| y:', 4.253472002357576, ,'| x_e:', 0.0068467073310738424, '| theta:', 1.0506679132937
'vel:', 0.42857256719961667, '| ang:', 0.0025833596433508356, '| x_e:', 1, '| y_e:', 1, '| x:', 4.60149964027686, '| y:', 4.29307338127303, ,'| x_e:', 0.006458399108377089, '| theta:', 1.051252139199269
'vel:', 0.4057547846188073, '| ang:', 0.0024949477372798513, '| x_e:', 1, '| y_e:', 1, '| x:', 4.622553658218703, '| y:', 4.329883888382788, ,'| x_e:', 0.006237369343199628, '| theta:', 1.0516971537513353
'vel:', 0.3845521238964411, '| ang:', 0.0024545052554993067, '| x_e:', 1, '| y_e:', 1, '| x:', 4.642570621773438, '| y:', 4.364917392124845, ,'| x_e:', 0.006136263138748266, '| theta:', 1.0520247408790206
'vel:', 0.36437812751485743, '| ang:', 0.002459367294179504, '| x_e:', 1, '| y_e:', 1, '| x:', 4.661761094354231, '| y:', 4.398529937006325, ,'| x_e:', 0.00614841823544876, '| theta:', 1.0522419576467834
'vel:', 0.3450260113274297, '| ang:', 0.002510425586019771, '| x_e:', 1, '| y_e:', 1, '| x:', 4.679627197391236, '| y:', 4.429838611325492, ,'| x_e:', 0.006276063965049428, '| theta:', 1.0523761369879492
'vel:', 0.32700257712540964, '| ang:', 0.002595123200848626, '| x_e:', 1, '| y_e:', 1, '| x:', 4.69663339762889, '| y:', 4.459649677984836, ,'| x_e:', 0.0064878080021215645, '| theta:', 1.05249104219473
'vel:', 0.3098426075994401, '| ang:', 0.0026928886483052143, '| x_e:', 1, '| y_e:', 1, '| x:', 4.712653327963263, '| y:', 4.487739358728833, ,'| x_e:', 0.006732221620763035, '| theta:', 1.0525562935953263
